home1.tar.gz_4096.csv_reuse_stats.json,7250,8.64573101879586,6878.963404229538,42.199516038095695,2249.2172794969338,2,-7,-3.5,0.0004094832688163411
home2.tar.gz_4096.csv_reuse_stats.json,17319,40.07865560868822,193308.29847855394,21.275719758736102,536.9407403482691,4,-37,-9.25,0.0014792118635042501
home3.tar.gz_4096.csv_reuse_stats.json,746,3.1308709449645904,281.5963856915023,21.17667467319388,561.4899717233891,2,-2,-1.0,0.0004003369904948101
home4.tar.gz_4096.csv_reuse_stats.json,6345,7.481556093469104,9137.763797914684,51.89825721673445,2986.00042895224,2,-6,-3.0,0.00131160303276469
homes.tar.gz_4096.csv_reuse_stats.json,36084,41.36175654774134,354317.43338616454,31.492127754752758,1203.6026236322882,2,-40,-20.0,0.0009268606033653037
mail-01.tar.gz_4096.csv_reuse_stats.json,16713,12.114340040281677,66255.93777577608,45.422999662778146,2511.208632536133,2,-11,-5.5,0.00018398349383840225
mail-02.tar.gz_4096.csv_reuse_stats.json,24806,15.207519000853164,95227.29455775942,40.37369844449621,2060.4930541771946,2,-14,-7.0,0.00028418615960185205
mail-04.tar.gz_4096.csv_reuse_stats.json,26269,16.341990227674817,107104.3093957071,39.259607367843756,1960.7160724673518,2,-15,-7.5,0.0003191866722196271
mail-06.tar.gz_4096.csv_reuse_stats.json,26168,15.76200862466441,96743.9800094676,38.74314394943721,1971.1100249294218,2,-14,-7.0,0.0002801845036184857
mail.tar.gz_4096.csv_reuse_stats.json,51541,18.928595433845857,216177.5549741169,49.0722737830936,3050.2355774121565,2,-17,-8.5,5.589483863515218e-05
mds_0.csv.gz_4096.csv_reuse_stats.json,114710,3263.4485006982723,204098324.49234664,6.08265228669891,38.075549856241395,47,-3217,-68.44680851063829,0.09475951955106132
mds_1.csv.gz_4096.csv_reuse_stats.json,1494912,263876.0095756639,189640677943.22992,1.488735064999594,0.9094374201440574,128915,-134962,-1.0469068766241323,0.9130860084593679
online.tar.gz_4096.csv_reuse_stats.json,1984,8.830379756829654,8197.002161848575,18.206175483232986,343.23790451027776,2,-7,-3.5,0.0001748092579263675
prn_0.csv.gz_4096.csv_reuse_stats.json,475501,14339.173889492593,1978957038.8179016,4.2784733440205684,22.1590068600601,95,-14245,-149.94736842105263,0.08550353515986542
prn_1.csv.gz_4096.csv_reuse_stats.json,2167295,226766.70133963047,139917202205.77368,2.679686005959558,7.262359712884221,215233,-11534,-0.05358843671741787,0.19308213685050782
proj_0.csv.gz_4096.csv_reuse_stats.json,282785,17030.67000333735,1019578549.3940381,2.996092978820258,10.429144883338372,13236,-3795,-0.28671804170444243,0.06729018464565475
proj_1.csv.gz_4096.csv_reuse_stats.json,15450127,1179197.1547711478,3620243921752.4688,2.285099942242129,5.05445956470586,739282,-439916,-0.5950584486028335,0.6536448240424959
proj_2.csv.gz_4096.csv_reuse_stats.json,16168591,4092859.5995798795,11277041445458.219,0.5528568175774623,-0.22350141478976626,6175711,2082851,0.33726497240560643,0.552859035124208
proj_3.csv.gz_4096.csv_reuse_stats.json,495272,102551.57598240598,1901837173.0517173,0.7872598241181702,7.754046118641433,118313,15761,0.13321443966428034,0.22192427841564186
proj_4.csv.gz_4096.csv_reuse_stats.json,3001038,560274.0227020918,221246509172.82236,2.0008222601605,6.371045386210087,709102,148827,0.2098809480159413,0.4643813241042378
prxy_0.csv.gz_4096.csv_reuse_stats.json,147635,1430.4712497050984,47609609.241246134,8.0812289159557,81.11608157516012,231,-1200,-5.194805194805195,0.012016485703933424
prxy_1.csv.gz_4096.csv_reuse_stats.json,326953,6261.741413193033,33059297.424313508,3.2869809333503146,80.28239124374312,10010,3748,0.37442557442557445,0.0019752018875068516
rsrch_0.csv.gz_4096.csv_reuse_stats.json,46161,2692.7731215456074,47423265.44519211,3.0895199416635704,9.427900703582047,85,-2608,-30.68235294117647,0.0322888003041178
rsrch_1.csv.gz_4096.csv_reuse_stats.json,4231,742.0780813078081,445275.6032389987,0.7718912943817171,0.006610254543191196,847,104,0.12278630460448642,0.32525399129172716
rsrch_2.csv.gz_4096.csv_reuse_stats.json,151915,10206.77041407268,1075253604.13891,3.5580779100430346,11.154920895023352,336,-9871,-29.37797619047619,0.7338176282715199
src1_0.csv.gz_4096.csv_reuse_stats.json,5657841,2076176.4156936621,1059970456472.4481,0.015424142025731289,0.09053692708501204,2411705,335528,0.13912481004102906,0.15125613470504948
src1_1.csv.gz_4096.csv_reuse_stats.json,6080111,3643784.3579983762,4143891480238.473,-1.0102219127955043,-0.8848931915001357,4930267,1286482,0.26093556393598966,0.13488742305320864
src1_2.csv.gz_4096.csv_reuse_stats.json,152759,14211.004370893555,710873049.5039663,2.102841604800435,3.3956623828050407,5552,-8660,-1.5597982708933718,0.08078896178947914
src2_0.csv.gz_4096.csv_reuse_stats.json,78012,2803.2942540159015,80574465.9797831,4.574221473081782,23.667317991683188,87,-2717,-31.229885057471265,0.050515658480409086
src2_1.csv.gz_4096.csv_reuse_stats.json,330003,262726.34902097285,4998122648.097912,-3.1377364302269224,8.46601248950749,278433,15706,0.05640854352752727,0.502079741674192
src2_2.csv.gz_4096.csv_reuse_stats.json,832766,137317.91346701328,34436530341.45259,1.5018548885128054,1.2535326527537443,147399,10081,0.06839259425097864,0.7343288226573946
stg_0.csv.gz_4096.csv_reuse_stats.json,229905,6954.689646632357,905279749.7105118,5.98281473281085,36.00938840477611,213,-6742,-31.652582159624412,0.11328440628977579
